IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2020-06-0104;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR – Nadzor nad primenom mera za zaštitu stanovništva od zaraznih bolesti - ONLAJN OBUKA ;18.11.2020;-;LMS;onlajn sertifikat;;1286;;Onlajn obuka;2020
2020-06-0104;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR – Nadzor nad primenom mera za zaštitu stanovništva od zaraznih bolesti - ONLAJN OBUKA ;18.11.2020;-;LMS;onlajn sertifikat;0;85;;Onlajn obuka;2021
2020-06-0104;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR – Nadzor nad primenom mera za zaštitu stanovništva od zaraznih bolesti - ONLAJN OBUKA ;18.11.2020;-;LMS;onlajn sertifikat;0;23;;Onlajn obuka;2022
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul1 Lokalni ekonomski razvoj G1;18.11.2020;18.11.2020;NAJU;potvrda;1;47;;Virtuelna učionica;2020
2020-02-0206;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;SISTEM JAVNE UPRAVE;FINANSIRANjE PROGRAMA OD JAVNOG INTERESA KOJE REALIZUJU UDRUŽENjA ;19.11.2020;19.11.2020;NAPA Webex;potvrda;1;39;3,30;Virtuelna učionica;2020
2020-02-0909;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;SISTEM JAVNE UPRAVE;UNAPREĐENjE PREVENCIJE I SUZBIJANjE TRGOVINE LjUDIMA NA NACIONALNOM NIVOU;20.11.2020;20.11.2020;NAPA Webex;potvrda;1;37;3,70;Virtuelna učionica;2020
2020-06-0309;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;ODNOSI SA JAVNOŠĆU;LIČNI RAZVOJ I VEŠTINE;JAVNI NASTUP;23.11.2020;23.11.2020;NAPA Webex;sertifikat;1;93;3,71;Virtuelna učionica;2020
2020-02-1610;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;LIČNI RAZVOJ I VEŠTINE;VODITI SASTANAK SA REZULTATOM - Konsultacije radi efikasnije primene stečenog znanja u praksi;24.11.2020;24.11.2020;NAPA Webex;bez potvrde;1;16;3,54;Konsultacije;2020
2020-03-0102;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;OSNOVE - SUŠTINSKA PITANjA 8 Ostvarivanje pune koristi od digitalizacije (OSTVARIVANjE REZULTATA: Pružanje javnih usluga);24.11.2020;24.11.2020;NAPA Webex;potvrda;1;0;3,75;Virtuelna učionica;2020
2020-02-1418;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;E-UPRAVA I DIGITALIZACIJA;ELEKTRONSKI DOKUMENT, ELEKTRONSKA IDENTIFIKACIJA I USLUGE OD POVERENjA U ELEKTRONSKOM POSLOVANjU ;25.11.2020;25.11.2020;NAPA Webex;potvrda;1;171;3,55;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Online;26.11.2020;-;LMS;bez potvrde;0;14;;Onlajn obuka;2023
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Online;26.11.2020;-;LMS;bez potvrde;;25;;Onlajn obuka;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Online;26.11.2020;-;LMS;onlajn potvrda;0;18;;Onlajn obuka;2021
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Online;26.11.2020;-;LMS;onlajn potvrda;0;3;;Onlajn obuka;2022
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul2 Osnove finansijskog upravljanja G1;26.11.2020;26.11.2020;NAPA Webex;potvrda;1;0;3,76;Virtuelna učionica;2020
2020-10-00;POSEBNI PROGRAMI;MATIČARI;MATIČARI;Obuka za matičare;26.11.2020;26.11.2020;NAPA Webex;posebni programi;1;39;;Virtuelna učionica;2020
2020-06-0307;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;POSLOVNA KOMUNIKACIJA;LIČNI RAZVOJ I VEŠTINE;MOĆ POVRATNE INFORMACIJE;27.11.2020;27.11.2020;NAPA Webex;potvrda;1;168;3,67;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul2 Osnove finansijskog upravljanja G2;27.11.2020;27.11.2020;NAPA Webex;potvrda;1;0;3,68;Virtuelna učionica;2020
2020-02-0810;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;UPRAVLjANjE STRUČNIM USAVRŠAVANjEM U DRŽAVNIM ORGANIMA - Nova edukativna metodologija;1.12.2020;1.12.2020;NAPA Webex;bez potvrde;1;26;3,44;Virtuelna učionica;2020
2020-03-0102;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;OSNOVE - SUŠTINSKA PITANjA 9 ULjR za državne službenike na položajima (JA I MOJ TIM);1.12.2020;1.12.2020;NAPA Webex;potvrda;1;0;3,75;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul3 Upravljanje javnim politikama G1;3.12.2020;3.12.2020;NAPA Webex;potvrda;1;0;3,88;Virtuelna učionica;2020
2020-02-1422;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;UZ NACIONALNU INFRASTRUKTURU GEOPROSTORNIH PODATAKA KA EFIKASNIJOJ UPRAVI I BOLjIM JAVNIM USLUGAMA - ONLAJN OBUKA;4.12.2020;-;LMS;onlajn sertifikat;0;34;;Onlajn obuka;2023
2020-02-1422;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;UZ NACIONALNU INFRASTRUKTURU GEOPROSTORNIH PODATAKA KA EFIKASNIJOJ UPRAVI I BOLjIM JAVNIM USLUGAMA - ONLAJN OBUKA;4.12.2020;-;LMS;onlajn sertifikat;;20;;Onlajn obuka;2020
2020-02-1422;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;UZ NACIONALNU INFRASTRUKTURU GEOPROSTORNIH PODATAKA KA EFIKASNIJOJ UPRAVI I BOLjIM JAVNIM USLUGAMA - ONLAJN OBUKA;4.12.2020;-;LMS;onlajn sertifikat;0;74;;Onlajn obuka;2021
2020-02-1422;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;UZ NACIONALNU INFRASTRUKTURU GEOPROSTORNIH PODATAKA KA EFIKASNIJOJ UPRAVI I BOLjIM JAVNIM USLUGAMA - ONLAJN OBUKA;4.12.2020;-;LMS;onlajn sertifikat;0;74;;Onlajn obuka;2022
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul3 Upravljanje javnim politikama G2;4.12.2020;4.12.2020;NAPA Webex;potvrda;1;0;;Virtuelna učionica;2020
2020-10-00;POSEBNI PROGRAMI;MATIČARI;MATIČARI;Obuka za matičare;7.12.2020;7.12.2020;NAPA Webex;posebni programi;1;33;;Virtuelna učionica;2020
2020-03-0102;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;OSNOVE - SUŠTINSKA PITANjA 10 Samosvesnost i lična delotvornost u ostvarivanju rezultata, Postizanje rezultata preko drugih (JA I MOJ TIM);8.12.2020;8.12.2020;NAPA Webex;potvrda;1;0;3,94;Virtuelna učionica;2020
2020-02-1301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;STRANI JEZICI;FRANCUSKI JEZIK – Kurs FIS;9.12.2020;30.6.2021;Zoom;potvrda;20;30;;Virtuelna učionica;2020
2020-02-0811;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;POSTAVLjANjE ORGANIZACIONIH CILjEVA ;10.12.2020;10.12.2020;NAPA Webex;sertifikat;1;24;3,79;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul4 Uvođenje elektronske uprave G1;10.12.2020;10.12.2020;NAPA Webex;potvrda;1;0;3,75;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul4 Uvođenje elektronske uprave G2;11.12.2020;11.12.2020;NAPA Webex;potvrda;1;0;3,73;Virtuelna učionica;2020
2020-02-0624;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE MEĐUNARODNOM RAZVOJNOM POMOĆI I FONDOVIMA EU;HORIZONTALNA PITANjA ZA NOSIOCE HORIZONTALNIH FUNKCIJA;14.12.2020;14.12.2020;NAPA Webex;sertifikat;1;88;3,52;Virtuelna učionica;2020
2020-08-0201;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE - Korupcija, favoritizam, pronevera … kako ih sprečiti u lokalnoj samoupravi?;14.12.2020;-;LMS;bez potvrde;0;51;;Onlajn obuka;2023
2020-08-0201;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE - Korupcija, favoritizam, pronevera … kako ih sprečiti u lokalnoj samoupravi?;14.12.2020;-;LMS;bez potvrde;;9;;Onlajn obuka;2020
2020-08-0201;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE - Korupcija, favoritizam, pronevera … kako ih sprečiti u lokalnoj samoupravi?;14.12.2020;-;LMS;onlajn potvrda;0;148;;Onlajn obuka;2021
2020-08-0201;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE - Korupcija, favoritizam, pronevera … kako ih sprečiti u lokalnoj samoupravi?;14.12.2020;-;LMS;onlajn potvrda;0;74;;Onlajn obuka;2022
2020-10-00;POSEBNI PROGRAMI;MATIČARI;MATIČARI;Obuka za matičare;14.12.2020;14.12.2020;NAPA Webex;posebni programi;1;32;;Virtuelna učionica;2020
2020-03-0102;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;OSNOVE - SUŠTINSKA PITANjA 11 Napredne komunikacione veštine (JA I MOJ TIM);15.12.2020;15.12.2020;NAPA Webex;potvrda;1;0;3,91;Virtuelna učionica;2020
2020-02-1400;POSEBNI DOGAĐAJI;DIGITALNA PISMENOST;E-UPRAVA I DIGITALIZACIJA;LMS PODRŠKA - Obuka kontakt osoba koje nemaju nalog;16.12.2020;16.12.2020;NAPA Webex;bez potvrde;1;10;;Virtuelna učionica;2020
2020-02-0812;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;VREDNOVANjE RADNE USPEŠNOSTI;17.12.2020;17.12.2020;NAPA Webex;sertifikat;1;89;3,64;Virtuelna učionica;2020
2020-02-1400;POSEBNI DOGAĐAJI;DIGITALNA PISMENOST;E-UPRAVA I DIGITALIZACIJA;LMS PODRŠKA - Obuka kontakt osoba;17.12.2020;17.12.2020;NAPA Webex;bez potvrde;1;22;;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul5 Aktiviranje omladinske politike G1;17.12.2020;17.12.2020;NAPA Webex;potvrda;1;0;3,82;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul5 Aktiviranje omladinske politike G2;18.12.2020;18.12.2020;NAPA Webex;potvrda;1;0;3,82;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul6 Inkluzija Roma G1;21.12.2020;21.12.2020;NAPA Webex;potvrda;1;0;3,67;Virtuelna učionica;2020
2020-03-0102;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;OSNOVE - SUŠTINSKA PITANjA 6 Finansijski aspekti upravljanja javnim politikama (OSTVARIVANjE REZULTATA: Upravljanje sistemom javnih politika);22.12.2020;22.12.2020;NAPA Webex;potvrda;1;0;3,61;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul6 Inkluzija Roma G2;22.12.2020;22.12.2020;NAPA Webex;potvrda;1;0;3,67;Virtuelna učionica;2020
2020-02-0901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZELENA AGENDA;SISTEM JAVNE UPRAVE;ODRŽIVI RAZVOJ I ZAŠTITA ŽIVOTNE SREDINE – ONLAJN OBUKA;28.12.2020;-;LMS;bez potvrde;0;78;;Onlajn obuka;2023
2020-02-0901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZELENA AGENDA;SISTEM JAVNE UPRAVE;ODRŽIVI RAZVOJ I ZAŠTITA ŽIVOTNE SREDINE – ONLAJN OBUKA;28.12.2020;-;LMS;bez potvrde;;7;;Onlajn obuka;2020
2020-02-0901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZELENA AGENDA;SISTEM JAVNE UPRAVE;ODRŽIVI RAZVOJ I ZAŠTITA ŽIVOTNE SREDINE – ONLAJN OBUKA;28.12.2020;-;LMS;onlajn sertifikat;0;208;;Onlajn obuka;2021
2020-02-0901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZELENA AGENDA;SISTEM JAVNE UPRAVE;ODRŽIVI RAZVOJ I ZAŠTITA ŽIVOTNE SREDINE – ONLAJN OBUKA;28.12.2020;-;LMS;onlajn sertifikat;0;112;;Onlajn obuka;2022
2020-02-1411;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PODACIMA;E-UPRAVA I DIGITALIZACIJA;KAKO DA KORISTITE PIVOT TABELE U EKSELU?;15.1.2021;15.1.2021;NAPA Webex;sertifikat;1;12;3,91;Virtuelna učionica;2021
2020-02-1421;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;OSNOVE HTML;21.1.2021;22.1.2021;NAJU, NAPA Webex;sertifikat;2;6;3,96;Hibridna obuka;2021
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul7 Pravni okvir i ključne nadležnosti G1;28.1.2021;28.1.2021;NAPA Webex;potvrda;1;0;;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul7 Pravni okvir i ključne nadležnosti G2;29.1.2021;29.1.2021;NAPA Webex;potvrda;1;0;3,81;Virtuelna učionica;2020
2020-02-1400;POSEBNI DOGAĐAJI;DIGITALNA PISMENOST;0;LMS PODRŠKA - Predstavljanje izveštaja kontakt osobama;2.2.2021;2.2.2021;NAPA Webex;bez potvrde;1;71;;Virtuelna učionica;2021
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul8 Sistem javnih nabavki G1;4.2.2021;4.2.2021;NAPA Webex;potvrda;1;0;;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul8 Sistem javnih nabavki G2;5.2.2021;5.2.2021;NAPA Webex;potvrda;1;0;3,95;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul9 Unapređenje javnih usluga G1;11.2.2021;11.2.2021;NAPA Webex;potvrda;1;0;;Virtuelna učionica;2020
2020-08-0101;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Modul9 Unapređenje javnih usluga G2;12.2.2021;12.2.2021;NAPA Webex;potvrda;1;0;3,61;Virtuelna učionica;2020
2020-02-0106;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;SISTEM JAVNE UPRAVE;AKCIONI PLAN ZA SPROVOĐENjE PROGRAMA VLADE - PROCES IZRADE, SPROVOĐENjA I IZVEŠTAVANjA;18.2.2021;18.2.2021;NAPA Webex;bez potvrde;1;60;3,40;Virtuelna učionica;2021
2020-02-0106;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;SISTEM JAVNE UPRAVE;AKCIONI PLAN ZA SPROVOĐENjE PROGRAMA VLADE - PROCES IZRADE, SPROVOĐENjA I IZVEŠTAVANjA;24.2.2021;24.2.2021;NAPA Webex;bez potvrde;1;28;3,45;Virtuelna učionica;2021
2020-02-1400;POSEBNI DOGAĐAJI;DIGITALNA PISMENOST;0;LMS PODRŠKA - Premijerno testiranje Virtuelne učionice;25.2.2021;25.2.2021;NAPA Webex;bez potvrde;1;30;;Virtuelna učionica;2021
2020-02-1501;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;TRENING TRENERA;OBUKA PREDAVAČA – Uputstvo za redizajn trening programa;8.3.2021;8.3.2021;NAPA Webex;bez potvrde;1;45;3,16;Virtuelna učionica;2021
2021-00;POSEBNI DOGAĐAJI;SUSRETI U NAJU;0;ReSPA VIRTUELNA POSETA NAJU;16.3.2021;16.3.2021;Zoom;bez potvrde;1;50;;Virtuelna učionica;2021
2021-00;POSEBNI DOGAĐAJI;KONFERENCIJE;0;Inovacije u javnoj upravi – Pitanje izbora?;25.3.2021;25.3.2021;Zoom, YouTube;bez potvrde;1;350;;Hibridna konferencija;2021
2021-02-1610;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PROGRAM OBUKE FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U JLS, SLUŽBENIKA KOJI SU RASPOREĐENI NA RADNA MESTA RUKOVODILACA ORGANIZACIONIH JEDINICAU GRADSKOJ, ODNOSNO OPŠTINSKOJ UPRAVI ILI UPRAVI GRADSKE OPŠTINE I SLUŽBENIKA KOJI SE PRIPREMAJU ZA RASPOREĐIVANjE NA RADNA MESTA RUKOVODILACA U JLS;LIČNI RAZVOJ I VEŠTINE;MOTIVACIJA ZAPOSLENIH;29.3.2021;-;LMS;onlajn sertifikat;0;74;;Onlajn obuka;2022
2021-02-1610;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PROGRAM OBUKE FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U JLS, SLUŽBENIKA KOJI SU RASPOREĐENI NA RADNA MESTA RUKOVODILACA ORGANIZACIONIH JEDINICAU GRADSKOJ, ODNOSNO OPŠTINSKOJ UPRAVI ILI UPRAVI GRADSKE OPŠTINE I SLUŽBENIKA KOJI SE PRIPREMAJU ZA RASPOREĐIVANjE NA RADNA MESTA RUKOVODILACA U JLS;LIČNI RAZVOJ I VEŠTINE;MOTIVACIJA ZAPOSLENIH;29.3.2021;-;LMS;onlajn sertifikat;0;185;;Onlajn obuka;2021
